user_id,registration_date,observation_start_date,observation_end_date,last_live_bet_date,first_live_bet_date,tenure_days,live_bets_count,avg_bet_amount,total_turnover,total_payout,ggr,ggr_margin,deposit_count,total_deposit_amount,deposit_to_turnover_ratio,days_active_in_observation,bet_day_rate,days_since_last_bet,live_bets_count_outcome_window,churn,log_turnover,observation_days,daily_bet_activity_rate,inactivity_rate,ggr_per_bet,deposit_per_bet,days_to_first_bet,betting_window_days,activity_intensity,compact_turnover,compact_deposit
USER_10000,2025-06-23,2025-10-03,2025-12-31,2025-12-26,2025-10-05,191,46,2.03,93.38,27.74,65.64,0.7029,0.0,0.0,0.0,16,0.1778,5.0,2,0,4.547329186298241,89,0.1797752808988764,0.02617801047120419,1.4269565217391305,0.0,104.0,82.0,0.24083769633507854,4.547329186298241,0.0
USER_10001,2024-08-28,2025-10-03,2025-12-31,2025-12-21,2025-10-15,490,43,5.22,224.46,252.36,-27.9,-0.1243,2.0,284.56,1.2677537200392053,14,0.1556,10.0,0,1,5.418142759616385,89,0.15730337078651685,0.02040816326530612,-0.6488372093023256,6.617674418604651,413.0,67.0,0.08775510204081632,5.418142759616385,5.65445216463426
USER_10002,2024-08-05,2025-10-03,2025-12-31,2025-12-28,2025-10-06,513,40,7.07,282.8,48.9,233.9,0.8271,8.0,237.72,0.8405940594059406,13,0.1444,3.0,0,1,5.648269764725942,89,0.14606741573033707,0.005847953216374269,5.8475,5.943,427.0,83.0,0.07797270955165692,5.648269764725942,5.475291317015396
USER_10003,2024-09-17,2025-10-03,2025-12-31,2025-12-31,2025-10-12,470,86,0.0,890.1,210.71,679.39,0.7633,3.0,497.87,0.5593416470059543,23,0.2556,0.0,13,0,6.792456654618674,89,0.25842696629213485,0.0,7.899883720930233,5.789186046511628,390.0,80.0,0.1829787234042553,6.792456654618674,6.212345540767933
USER_10004,2024-09-09,2025-10-03,2025-12-31,2025-12-30,2025-10-08,478,82,3.05,250.1,211.39,38.71,0.1548,2.0,200.82,0.8029588164734106,24,0.2667,1.0,4,0,5.5258512661635395,89,0.2696629213483146,0.0020920502092050207,0.47207317073170735,2.449024390243902,394.0,83.0,0.17154811715481172,5.5258512661635395,5.307376211036383
USER_10005,2025-04-01,2025-10-03,2025-12-31,2025-12-29,2025-10-03,274,128,6.07,776.96,299.28,477.68,0.6148,0.0,0.0,0.0,32,0.3556,2.0,16,0,6.6566751089749046,89,0.3595505617977528,0.0072992700729927005,3.731875,0.0,185.0,87.0,0.46715328467153283,6.6566751089749046,0.0
USER_10006,2024-09-19,2025-10-03,2025-12-31,2025-12-26,2025-10-04,468,142,0.0,1211.26,687.58,523.68,0.4323,5.0,836.95,0.6909746875154797,31,0.3444,5.0,20,0,7.100241665074968,89,0.34831460674157305,0.010683760683760684,3.6878873239436616,5.894014084507043,380.0,83.0,0.3034188034188034,7.100241665074968,6.7309584328308825
USER_10007,2024-06-13,2025-10-03,2025-12-31,2025-12-31,2025-10-06,566,57,5.13,292.41,133.71,158.7,0.5427,0.0,0.0,0.0,18,0.2,0.0,2,0,5.6815709482909815,89,0.20224719101123595,0.0,2.7842105263157895,0.0,480.0,86.0,0.10070671378091872,5.6815709482909815,0.0
USER_10008,2021-05-04,2025-10-03,2025-12-31,2025-12-29,2025-10-11,1702,67,6.69,448.23,221.09,227.14,0.5067,0.0,0.0,0.0,23,0.2556,2.0,2,0,6.107535006030503,89,0.25842696629213485,0.0011750881316098707,3.390149253731343,0.0,1621.0,79.0,0.03936545240893067,6.107535006030503,0.0
USER_10009,2025-01-24,2025-10-03,2025-12-31,2025-12-30,2025-10-04,341,21,5.13,107.73,83.16,24.57,0.2281,2.0,187.14,1.7371205792258422,8,0.0889,1.0,6,0,4.6888677450096585,89,0.0898876404494382,0.002932551319648094,1.17,8.911428571428571,253.0,87.0,0.06158357771260997,4.6888677450096585,5.237186366543805
USER_10010,2025-07-19,2025-10-03,2025-12-31,2025-12-31,2025-10-05,165,88,6.98,614.24,445.95,168.29,0.274,3.0,537.42,0.8749348788747069,30,0.3333,0.0,1,0,6.42201243558361,89,0.33707865168539325,0.0,1.9123863636363636,6.107045454545454,78.0,87.0,0.5333333333333333,6.42201243558361,6.288638924743108
USER_10011,2024-03-23,2025-10-03,2025-12-31,2025-12-26,2025-10-13,648,39,6.28,244.92,125.37,119.55,0.4881,3.0,331.51,1.3535440143720399,12,0.1333,5.0,1,0,5.505006279790286,89,0.1348314606741573,0.007716049382716049,3.065384615384615,8.50025641025641,569.0,74.0,0.06018518518518518,5.505006279790286,5.806669934831629
USER_10012,2025-10-23,2025-10-03,2025-12-31,2025-12-31,2025-10-26,69,51,11.78,600.78,757.74,-156.96,-0.2613,2.0,582.94,0.9703052698159061,17,0.1889,0.0,5,0,6.399891930011259,89,0.19101123595505617,0.0,-3.0776470588235294,11.430196078431374,3.0,66.0,0.7391304347826086,6.399891930011259,6.369798237824113
USER_10013,2025-09-24,2025-10-03,2025-12-31,2025-12-29,2025-10-05,98,187,8.97,1677.39,1266.86,410.53,0.2447,5.0,1402.97,0.8364005985489361,38,0.4222,2.0,15,0,7.4255902795689925,89,0.42696629213483145,0.02040816326530612,2.1953475935828877,7.502513368983958,11.0,85.0,1.9081632653061225,7.4255902795689925,7.2470592168361
USER_10014,2025-08-28,2025-10-03,2025-12-31,2025-12-26,2025-10-04,125,154,4.72,726.88,207.01,519.87,0.7152,4.0,476.61,0.6556928241250275,36,0.4,5.0,16,0,6.590136199445042,89,0.4044943820224719,0.04,3.3757792207792208,3.09487012987013,37.0,83.0,1.232,6.590136199445042,6.168794499882646
